0.6183,0.6551,0.7542,0.8689,0.9289,0.9295,0.8814,0.8011,0.6906,0.5815,0.4668,0.3812,0.3356,0.3682,0.4626,0.6079,0.7521,0.8374,0.8765,0.8548,0.8224,0.8007,0.8427,0.9359,1.0518,1.0900,1.0587,0.9627,0.7946,0.6293,0.5083,0.4746,0.4831,0.5827,0.7238,0.8776,0.9543,0.9598,0.8374,0.6689,0.5191,0.4547,0.4591,0.5045,0.5083,0.4916,0.4730,0.5025,0.5760,0.6681,0.7453,0.7736,0.7574,0.7117,0.6679,0.6279,0.6273,0.6626,0.6770,0.6801,0.6849,0.6724,0.6519,0.6559,0.6445,0.6001,0.5426,0.4772,0.4310,0.4587,0.5535,0.7003,0.8449,0.9601,0.9872
0.6118,0.6580,0.7694,0.8764,0.9361,0.9436,0.8915,0.8033,0.6918,0.5861,0.4717,0.3867,0.3408,0.3748,0.4752,0.6227,0.7633,0.8490,0.8791,0.8473,0.8080,0.7813,0.8254,0.9127,1.0050,1.0495,1.0156,0.9060,0.7466,0.6022,0.4996,0.4705,0.4891,0.5928,0.7209,0.8689,0.9462,0.9309,0.7965,0.6412,0.5136,0.4721,0.4830,0.5281,0.5328,0.5175,0.4983,0.5177,0.5798,0.6602,0.7243,0.7493,0.7368,0.6881,0.6430,0.6183,0.6185,0.6422,0.6674,0.6790,0.6768,0.6708,0.6598,0.6616,0.6521,0.6137,0.5572,0.4888,0.4438,0.4709,0.5570,0.6920,0.8358,0.9435,0.9695
0.6140,0.6676,0.7884,0.8993,0.9547,0.9601,0.8962,0.8039,0.6916,0.5952,0.4877,0.4002,0.3498,0.3796,0.4812,0.6298,0.7713,0.8534,0.8726,0.8216,0.7656,0.7324,0.7757,0.8478,0.9240,0.9579,0.9170,0.8119,0.6753,0.5654,0.4867,0.4780,0.5046,0.5974,0.6966,0.8132,0.8766,0.8642,0.7605,0.6494,0.5542,0.5219,0.5463,0.5845,0.5821,0.5613,0.5365,0.5388,0.5780,0.6402,0.6896,0.7062,0.6946,0.6545,0.6224,0.6090,0.6144,0.6332,0.6627,0.6807,0.6765,0.6738,0.6751,0.6838,0.6796,0.6516,0.6028,0.5344,0.4775,0.4885,0.5552,0.6642,0.7837,0.8833,0.9022
0.6275,0.6785,0.8038,0.9356,0.9946,0.9816,0.9034,0.8106,0.7028,0.6091,0.5095,0.4189,0.3603,0.3866,0.4823,0.6328,0.7740,0.8473,0.8493,0.7793,0.7095,0.6727,0.7011,0.7664,0.8300,0.8358,0.7803,0.6963,0.5919,0.5124,0.4676,0.4838,0.5110,0.5850,0.6659,0.7427,0.7710,0.7511,0.6696,0.6071,0.5714,0.5798,0.6269,0.6690,0.6665,0.6328,0.5977,0.5839,0.5996,0.6282,0.6550,0.6592,0.6449,0.6230,0.6092,0.5986,0.6084,0.6391,0.6576,0.6701,0.6774,0.6739,0.6733,0.6891,0.6932,0.6729,0.6333,0.5724,0.5147,0.5056,0.5534,0.6395,0.7290,0.8067,0.8272
0.6075,0.6720,0.8112,0.9528,1.0088,1.0026,0.9133,0.8124,0.7079,0.6193,0.5235,0.4321,0.3635,0.3723,0.4627,0.6065,0.7440,0.8160,0.8066,0.7318,0.6538,0.6138,0.6348,0.6948,0.7501,0.7492,0.7021,0.6289,0.5395,0.4841,0.4576,0.4730,0.4942,0.5455,0.5981,0.6498,0.6651,0.6537,0.6207,0.6052,0.6185,0.6596,0.7116,0.7333,0.7248,0.6835,0.6445,0.6266,0.6298,0.6381,0.6418,0.6420,0.6422,0.6303,0.6265,0.6324,0.6440,0.6627,0.6761,0.6734,0.6708,0.6643,0.6579,0.6685,0.6819,0.6720,0.6383,0.5845,0.5334,0.5145,0.5379,0.6002,0.6727,0.7274,0.7419
0.6099,0.6746,0.8201,0.9635,1.0182,1.0051,0.9191,0.8113,0.7066,0.6194,0.5240,0.4367,0.3680,0.3656,0.4424,0.5725,0.7045,0.7758,0.7687,0.6996,0.6212,0.5893,0.6123,0.6623,0.7090,0.7150,0.6726,0.6047,0.5413,0.4978,0.4654,0.4631,0.4695,0.4953,0.5204,0.5610,0.5729,0.5674,0.5724,0.6035,0.6491,0.7136,0.7757,0.7846,0.7630,0.7255,0.7031,0.6854,0.6809,0.6798,0.6853,0.6882,0.6946,0.6941,0.6970,0.6991,0.7003,0.6947,0.6945,0.6827,0.6597,0.6391,0.6271,0.6283,0.6360,0.6308,0.6059,0.5558,0.5086,0.4942,0.5215,0.5705,0.6382,0.6827,0.6942
0.6188,0.6738,0.8055,0.9603,1.0159,0.9962,0.9185,0.8077,0.7021,0.6144,0.5288,0.4472,0.3887,0.3860,0.4445,0.5526,0.6714,0.7421,0.7462,0.6949,0.6340,0.6070,0.6263,0.6822,0.7221,0.7334,0.7057,0.6539,0.5989,0.5461,0.4991,0.4692,0.4504,0.4558,0.4721,0.4981,0.5136,0.5189,0.5435,0.6067,0.6923,0.7640,0.8087,0.8016,0.7767,0.7422,0.7392,0.7350,0.7423,0.7481,0.7642,0.7760,0.7868,0.7944,0.7977,0.7760,0.7510,0.7235,0.7026,0.6753,0.6415,0.6084,0.5889,0.5807,0.5792,0.5633,0.5353,0.4875,0.4502,0.4479,0.4969,0.5669,0.6445,0.6959,0.7194
0.6484,0.7039,0.8343,0.9493,0.9993,0.9841,0.9074,0.8090,0.7028,0.6195,0.5457,0.4818,0.4434,0.4440,0.4990,0.5860,0.6803,0.7506,0.7740,0.7475,0.6983,0.6735,0.6863,0.7254,0.7528,0.7611,0.7422,0.7101,0.6624,0.6041,0.5482,0.4974,0.4560,0.4515,0.4625,0.4806,0.4905,0.5041,0.5404,0.6199,0.7186,0.7857,0.8206,0.8086,0.7876,0.7681,0.7841,0.7962,0.8206,0.8357,0.8562,0.8781,0.9148,0.9042,0.8832,0.8300,0.7720,0.7178,0.6795,0.6435,0.6119,0.5817,0.5574,0.5445,0.5349,0.5062,0.4647,0.4126,0.3875,0.4107,0.4929,0.5991,0.7117,0.7822,0.8090
0.6853,0.7309,0.8382,0.9407,0.9820,0.9716,0.9082,0.8169,0.7279,0.6424,0.5874,0.5535,0.5416,0.5526,0.6023,0.6734,0.7526,0.8091,0.8349,0.8219,0.7854,0.7694,0.7546,0.7568,0.7673,0.7750,0.7588,0.7381,0.7026,0.6502,0.5854,0.5256,0.4911,0.4835,0.4928,0.5081,0.5073,0.5060,0.5441,0.6256,0.7125,0.7708,0.8100,0.7947,0.7812,0.7801,0.8232,0.8516,0.8933,0.9124,0.9470,0.9791,1.0027,0.9788,0.9279,0.8417,0.7532,0.6775,0.6361,0.6058,0.5860,0.5703,0.5574,0.5436,0.5202,0.4753,0.4161,0.3481,0.3253,0.3804,0.5025,0.6496,0.8140,0.9216,0.9478
0.7582,0.7880,0.8662,0.9436,0.9719,0.9566,0.9116,0.8347,0.7605,0.6945,0.6551,0.6459,0.6672,0.7037,0.7536,0.8092,0.8681,0.9131,0.9284,0.9231,0.8887,0.8475,0.7992,0.7760,0.7488,0.7466,0.7405,0.7229,0.6995,0.6603,0.6027,0.5538,0.5365,0.5464,0.5581,0.5682,0.5527,0.5330,0.5510,0.6072,0.6833,0.7416,0.7786,0.7765,0.7904,0.8119,0.8672,0.9120,0.9574,0.9805,1.0277,1.0535,1.0619,1.0182,0.9470,0.8274,0.7095,0.6306,0.5990,0.5806,0.5793,0.5857,0.5877,0.5797,0.5514,0.4879,0.4089,0.3331,0.3087,0.3781,0.5317,0.7314,0.9243,1.0667,1.1163
